Year,Borough,IP,Volume
1995-01-01,Barking & Dagenham,22.92915526,96
1995-01-01,Barnet,20.21847679,332
1995-01-01,Bexley,24.81672224,269
1995-01-01,Brent,16.85957426,233
1995-01-01,Bromley,21.90431939,323
1995-01-01,Camden,15.71119679,198
1995-01-01,City of London,11.66937425,17
1995-01-01,Croydon,23.94516189,375
1995-01-01,EAST MIDLANDS,29.63807666,3990
1995-01-01,EAST OF ENGLAND,24.83903404,5812
1995-01-01,Ealing,19.37175413,303
1995-01-01,Enfield,22.94286745,327
1995-01-01,England,26.22692517,47639
1995-01-01,Greenwich,19.62448939,182
1995-01-01,Hackney,13.0587484,131
1995-01-01,Hammersmith & Fulham,17.05476123,227
1995-01-01,Haringey,16.73185227,226
1995-01-01,Harrow,21.69657987,221
1995-01-01,Havering,24.4854059,203
1995-01-01,Hillingdon,22.33310376,202
1995-01-01,Hounslow,21.55271187,175
1995-01-01,Inner London,15.26627638,2890
1995-01-01,Islington,15.01106404,90
1995-01-01,Kensington & Chelsea,13.91052578,324
1995-01-01,Kingston upon Thames,18.94478398,213
1995-01-01,LONDON,18.47740644,7506
1995-01-01,Lambeth,15.3593848,227
1995-01-01,Lewisham,17.77338263,211
1995-01-01,Merton,19.3346228,219
1995-01-01,NORTH EAST,35.91493138,1983
1995-01-01,NORTH WEST,32.31267317,5801
1995-01-01,Newham,19.24958198,168
1995-01-01,Outer London,20.92468408,4616
1995-01-01,Redbridge,22.20890748,268
1995-01-01,Richmond upon Thames,18.42894766,208
1995-01-01,SOUTH EAST,24.17190924,8809
1995-01-01,SOUTH WEST,25.69791805,5050
1995-01-01,Southwark,15.18026224,182
1995-01-01,Sutton,23.26061698,218
1995-01-01,Tower Hamlets,14.700652,147
1995-01-01,WEST MIDLANDS,30.58148376,4199
1995-01-01,Waltham Forest,18.10359279,249
1995-01-01,Wandsworth,15.98998594,403
1995-01-01,Westminster,13.62058434,339
1995-01-01,YORKS & THE HUMBER,32.90288053,4489
1995-02-01,Barking & Dagenham,23.213407,95
1995-02-01,Barnet,20.19802766,327
1995-02-01,Bexley,24.75171027,207
1995-02-01,Brent,17.02879168,220
1995-02-01,Bromley,21.90058672,326
1995-02-01,Camden,15.5261921,194
1995-02-01,City of London,10.48950872,7
1995-02-01,Croydon,23.87346755,342
1995-02-01,EAST MIDLANDS,29.96803817,4211
1995-02-01,EAST OF ENGLAND,24.79172233,5928
1995-02-01,Ealing,19.61695676,242
1995-02-01,Enfield,23.1455168,302
1995-02-01,England,26.17436738,47880
1995-02-01,Greenwich,19.21283787,174
1995-02-01,Hackney,13.46151686,115
1995-02-01,Hammersmith & Fulham,16.67036989,185
1995-02-01,Haringey,17.30509183,223
1995-02-01,Harrow,21.34505575,175
1995-02-01,Havering,24.98713073,198
1995-02-01,Hillingdon,22.69493505,256
1995-02-01,Hounslow,21.20057612,145
1995-02-01,Inner London,14.80463692,2583
1995-02-01,Islington,15.30731955,102
1995-02-01,Kensington & Chelsea,13.88390801,207
1995-02-01,Kingston upon Thames,19.02777398,185
1995-02-01,LONDON,18.06588008,6873
1995-02-01,Lambeth,14.81784365,207
1995-02-01,Lewisham,17.88444848,206
1995-02-01,Merton,18.84275278,204
1995-02-01,NORTH EAST,36.33798873,1986
1995-02-01,NORTH WEST,32.28837379,6129
1995-02-01,Newham,19.11100187,189
1995-02-01,Outer London,20.91868542,4290
1995-02-01,Redbridge,22.19415326,277
1995-02-01,Richmond upon Thames,18.72847963,212
1995-02-01,SOUTH EAST,24.05718129,8658
1995-02-01,SOUTH WEST,25.53396976,5113
1995-02-01,Southwark,14.49015023,169
1995-02-01,Sutton,23.05129344,177
1995-02-01,Tower Hamlets,15.30310144,149
1995-02-01,WEST MIDLANDS,31.09431025,4633
1995-02-01,Waltham Forest,17.78848156,226
1995-02-01,Wandsworth,16.00478677,379
1995-02-01,Westminster,13.46116496,251
1995-02-01,YORKS & THE HUMBER,32.70120309,4349
1995-03-01,Barking & Dagenham,23.29664851,144
1995-03-01,Barnet,19.99371882,384
1995-03-01,Bexley,24.59108938,318
1995-03-01,Brent,17.02725501,320
1995-03-01,Bromley,21.84473453,449
1995-03-01,Camden,15.62666327,207
1995-03-01,City of London,10.09622021,14
1995-03-01,Croydon,23.79083723,447
1995-03-01,EAST MIDLANDS,29.53350231,5840
1995-03-01,EAST OF ENGLAND,24.60667807,8374
1995-03-01,Ealing,19.73403165,377
1995-03-01,Enfield,22.84027839,437
1995-03-01,England,26.22619215,67025
1995-03-01,Greenwich,19.33397591,206
1995-03-01,Hackney,13.54805803,159
1995-03-01,Hammersmith & Fulham,16.47213893,265
1995-03-01,Haringey,17.22190983,317
1995-03-01,Harrow,21.35020858,249
1995-03-01,Havering,24.97795273,282
1995-03-01,Hillingdon,22.44013106,337
1995-03-01,Hounslow,21.5128147,263
1995-03-01,Inner London,14.94235134,3643
1995-03-01,Islington,15.16510341,140
1995-03-01,Kensington & Chelsea,13.92453496,318
1995-03-01,Kingston upon Thames,18.99998154,221
1995-03-01,LONDON,18.34362913,9639
1995-03-01,Lambeth,15.03428149,315
1995-03-01,Lewisham,17.71366981,300
1995-03-01,Merton,19.0026996,275
1995-03-01,NORTH EAST,36.16534683,3052
1995-03-01,NORTH WEST,32.66285299,8375
1995-03-01,Newham,19.22043928,294
1995-03-01,Outer London,20.85462895,5996
1995-03-01,Redbridge,22.30482278,385
1995-03-01,Richmond upon Thames,18.0917009,307
1995-03-01,SOUTH EAST,24.20767675,12177
1995-03-01,SOUTH WEST,25.1708169,7157
1995-03-01,Southwark,14.70576866,270
1995-03-01,Sutton,22.86063218,319
1995-03-01,Tower Hamlets,15.70094806,166
1995-03-01,WEST MIDLANDS,31.15788961,6262
1995-03-01,Waltham Forest,17.97122039,276
1995-03-01,Wandsworth,15.73102544,513
1995-03-01,Westminster,13.54226187,365
1995-03-01,YORKS & THE HUMBER,33.19445923,6149
1995-04-01,Barking & Dagenham,24.14389458,109
1995-04-01,Barnet,19.67193606,304
1995-04-01,Bexley,24.55677259,253
1995-04-01,Brent,17.25183985,249
1995-04-01,Bromley,21.75759646,362
1995-04-01,Camden,15.6027178,174
1995-04-01,City of London,9.838522023,7
1995-04-01,Croydon,23.75538353,377
1995-04-01,EAST MIDLANDS,30.0153215,4892
1995-04-01,EAST OF ENGLAND,24.78046451,7004
1995-04-01,Ealing,19.93021854,270
1995-04-01,Enfield,22.6037714,337
1995-04-01,England,26.41823545,56925
1995-04-01,Greenwich,19.50719087,176
1995-04-01,Hackney,13.87749474,141
1995-04-01,Hammersmith & Fulham,16.57982825,258
1995-04-01,Haringey,17.44641774,244
1995-04-01,Harrow,21.38902226,216
1995-04-01,Havering,25.00540444,297
1995-04-01,Hillingdon,22.35626608,255
1995-04-01,Hounslow,21.45083735,211
1995-04-01,Inner London,14.99306872,3126
1995-04-01,Islington,15.14541062,125
1995-04-01,Kensington & Chelsea,14.02337282,293
1995-04-01,Kingston upon Thames,19.13146722,194
1995-04-01,LONDON,18.48225369,8053
1995-04-01,Lambeth,15.04612391,288
1995-04-01,Lewisham,17.47362142,227
1995-04-01,Merton,18.84458907,230
1995-04-01,NORTH EAST,35.93156694,2406
1995-04-01,NORTH WEST,32.54003082,6714
1995-04-01,Newham,19.58770686,217
1995-04-01,Outer London,20.81946421,4927
1995-04-01,Redbridge,22.22091142,317
1995-04-01,Richmond upon Thames,18.01576511,249
1995-04-01,SOUTH EAST,24.40009463,10941
1995-04-01,SOUTH WEST,25.73590298,6359
1995-04-01,Southwark,14.1043123,169
1995-04-01,Sutton,22.56965259,268
1995-04-01,Tower Hamlets,16.26439563,204
1995-04-01,WEST MIDLANDS,31.16655675,5218
1995-04-01,Waltham Forest,18.000836,253
1995-04-01,Wandsworth,15.71318403,451
1995-04-01,Westminster,13.65590169,328
1995-04-01,YORKS & THE HUMBER,33.49840252,5338
1995-05-01,Barking & Dagenham,24.10242746,149
1995-05-01,Barnet,19.56250959,393
1995-05-01,Bexley,24.44959721,317
1995-05-01,Brent,17.42642948,293
1995-05-01,Bromley,21.86975874,428
1995-05-01,Camden,15.58081114,220
1995-05-01,City of London,10.77105399,10
1995-05-01,Croydon,23.83670455,449
1995-05-01,EAST MIDLANDS,29.85508972,5377
1995-05-01,EAST OF ENGLAND,24.74187354,7765
1995-05-01,Ealing,19.90309579,345
1995-05-01,Enfield,22.34681816,393
1995-05-01,England,26.46131321,64192
1995-05-01,Greenwich,20.00654871,216
1995-05-01,Hackney,14.10211541,138
1995-05-01,Hammersmith & Fulham,16.99067814,233
1995-05-01,Haringey,17.40879458,330
1995-05-01,Harrow,21.46216493,244
1995-05-01,Havering,24.6778265,297
1995-05-01,Hillingdon,22.11601664,279
1995-05-01,Hounslow,21.7453977,233
1995-05-01,Inner London,15.43741393,3480
1995-05-01,Islington,15.30797275,139
1995-05-01,Kensington & Chelsea,14.57898706,274
1995-05-01,Kingston upon Thames,19.23704298,229
1995-05-01,LONDON,18.72471279,9293
1995-05-01,Lambeth,15.64588116,309
1995-05-01,Lewisham,17.20341303,311
1995-05-01,Merton,19.0527152,269
1995-05-01,NORTH EAST,36.93075778,2857
1995-05-01,NORTH WEST,32.50757011,7641
1995-05-01,Newham,20.06381312,284
1995-05-01,Outer London,20.86565915,5813
1995-05-01,Redbridge,22.26337848,399
1995-05-01,Richmond upon Thames,18.15612877,289
1995-05-01,SOUTH EAST,24.3650329,11975
1995-05-01,SOUTH WEST,25.6949494,6990
1995-05-01,Southwark,14.40549669,212
1995-05-01,Sutton,22.68257117,310
1995-05-01,Tower Hamlets,16.31342579,186
1995-05-01,WEST MIDLANDS,31.74237812,6094
1995-05-01,Waltham Forest,18.15517617,281
1995-05-01,Wandsworth,15.62147122,517
1995-05-01,Westminster,13.71128578,317
1995-05-01,YORKS & THE HUMBER,32.92311781,6200
1995-06-01,Barking & Dagenham,24.40146838,148
1995-06-01,Barnet,19.52983267,436
1995-06-01,Bexley,24.54708956,324
