Borough,Category,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
City of London,Active Enterprises,12715.0,12150.0,11980.0,11970.0,12240.0,12615.0,13800.0,14895.0,15830.0,16250.0,16765.0,17775.0,19250.0,26130.0,30210.0,32990.0,31440.0,31550.0
Barking and Dagenham,Active Enterprises,3435.0,3470.0,3120.0,3190.0,3280.0,3455.0,3740.0,3895.0,4190.0,4280.0,4580.0,5055.0,5690.0,6560.0,7645.0,7980.0,8100.0,8515.0
Barnet,Active Enterprises,17705.0,17525.0,19655.0,19095.0,18565.0,18555.0,19360.0,19920.0,20665.0,21205.0,22110.0,23135.0,24555.0,26190.0,27650.0,29845.0,29225.0,29815.0
Bexley,Active Enterprises,6455.0,6530.0,6450.0,6560.0,6710.0,6835.0,6920.0,6900.0,7165.0,7245.0,7390.0,7830.0,8430.0,9075.0,9975.0,10300.0,10115.0,10385.0
Brent,Active Enterprises,11670.0,11800.0,11295.0,11250.0,11330.0,11750.0,12245.0,12475.0,12595.0,12835.0,13220.0,13915.0,14680.0,15745.0,17005.0,17505.0,18465.0,18605.0
Bromley,Active Enterprises,11475.0,11585.0,11655.0,11755.0,11960.0,12430.0,12790.0,12880.0,12965.0,13080.0,13425.0,14065.0,14825.0,15695.0,16785.0,17780.0,17845.0,17805.0
Camden,Active Enterprises,23660.0,22825.0,22910.0,22675.0,22750.0,23335.0,24375.0,25175.0,25380.0,25930.0,26460.0,27530.0,29020.0,31385.0,34330.0,37510.0,38800.0,40290.0
Croydon,Active Enterprises,11540.0,11455.0,11230.0,11130.0,11385.0,11715.0,11930.0,12090.0,12560.0,12700.0,13020.0,13515.0,14400.0,15540.0,16855.0,17285.0,17380.0,17625.0
Ealing,Active Enterprises,13070.0,13575.0,12830.0,12915.0,13060.0,13640.0,13885.0,14150.0,14240.0,14570.0,15065.0,16310.0,17475.0,18700.0,20220.0,20690.0,20700.0,20885.0
Enfield,Active Enterprises,9000.0,9085.0,9305.0,9455.0,9715.0,9860.0,10195.0,10490.0,10920.0,10980.0,11280.0,12065.0,13015.0,13925.0,15105.0,15560.0,15655.0,16100.0
Greenwich,Active Enterprises,5540.0,5605.0,5605.0,5855.0,6075.0,6370.0,6570.0,6695.0,7160.0,7290.0,7665.0,8320.0,8975.0,10060.0,11210.0,11640.0,11670.0,12090.0
Hackney,Active Enterprises,9510.0,9630.0,9285.0,9340.0,9580.0,10160.0,10765.0,11230.0,11700.0,12150.0,12980.0,14180.0,16095.0,18510.0,21660.0,23535.0,24620.0,26785.0
Hammersmith and Fulham,Active Enterprises,11875.0,11590.0,10745.0,10855.0,10880.0,11335.0,11750.0,11850.0,11865.0,11915.0,12270.0,12850.0,13465.0,14095.0,14625.0,14650.0,14600.0,14915.0
Haringey,Active Enterprises,8775.0,8845.0,8435.0,8405.0,8420.0,8690.0,9075.0,9315.0,9825.0,10005.0,10330.0,11020.0,11875.0,12675.0,13760.0,14130.0,14210.0,14960.0
