,,Domestic consumers,Domestic consumers,Commercial and industrial consumers,Commercial and industrial consumers,All consumers,All consumers,Sales per consumer,Sales per consumer
,,Sales in the year - GWh,Number of MPANs (thousands),Sales in the year - GWh,Number of MPANs (thousands),Sales in the year - GWh,Number of MPANs (thousands),Average domestic consumption kWh,Average industrial and commercial consumption kWh
"('', 'Borough')","('', 'Year')",,,,,,,,
City of London,2003,24.376581200000015,5.455,2461.8835539958764,8.247,2486.2601351958765,13.702,4468.667497708527,298518.68000435026
Barking and Dagenham,2003,308.88650490000015,71.034,427.93838619814835,5.308,736.8248910981486,76.34200000000001,4348.431805895771,80621.39905767678
Barnet,2003,677.0546930000003,134.588,485.5140294973901,11.708,1162.5687224973904,146.296,5030.572510179216,41468.57101959259
Bexley,2003,426.4853990999998,93.704,392.4049495993682,6.701,818.890348699368,100.405,4551.4108159737025,58559.1627517338
Brent,2003,460.4195245000001,108.312,718.3806253977875,14.021,1178.8001498977876,122.333,4250.863473114707,51236.0477425139
Bromley,2003,615.4619410000004,130.704,492.0713807967142,11.23,1107.5333217967145,141.934,4708.822537948344,43817.5762062969
Camden,2003,361.1426861999999,96.481,1342.0954937991944,28.723,1703.2381799991942,125.204,3743.1482488780166,46725.46369805363
Croydon,2003,641.6421633,139.213,714.7390440982138,13.162,1356.3812073982137,152.375,4609.067855013541,54303.2247453437
Ealing,2003,528.1471431000001,123.659,711.5363978014602,11.514,1239.6835409014602,135.173,4270.996394116078,61797.49850629323
Enfield,2003,573.7667453,120.415,512.2447148983237,8.605,1086.0114601983237,129.02,4764.910893991612,59528.72921537753
Greenwich,2003,388.5878913999997,97.405,379.5703278990153,8.744,768.158219299015,106.149,3989.403946409319,43409.23237637412
Hackney,2003,349.99553840000004,90.64,407.1800014997417,17.704,757.1755398997418,108.344,3861.3806090026483,22999.32227178839
Hammersmith and Fulham,2003,301.07360160000025,78.769,656.8611952992071,14.042,957.9347968992074,92.811,3822.234655765596,46778.321841561534
Haringey,2003,424.4622137999999,98.734,439.50076919916796,9.632,863.9629829991679,108.366,4299.048086778616,45629.23268263787
Harrow,2003,394.9833853999998,83.567,268.7395656958081,5.879,663.722951095808,89.446,4726.547385929851,45711.78188396124
Havering,2003,461.1771038999999,96.627,355.3400528970699,6.935,816.5171567970698,103.562,4772.756102331646,51238.65218414851
Hillingdon,2003,466.5095863000002,101.527,1163.2877206521052,7.496,1629.7973069521054,109.023,4594.931262619798,155187.79624494465
Hounslow,2003,392.8041838000003,90.748,853.4092385946004,7.923,1246.2134223946007,98.671,4328.516152422095,107712.89140408942
Islington,2003,324.3168042000003,88.56,906.6288539534489,19.084,1230.9456581534491,107.644,3662.1138685636893,47507.275935519225
Kensington and Chelsea,2003,385.7997194999997,88.118,1020.8234468009932,19.57,1406.623166300993,107.68799999999999,4378.21693070655,52162.66973944779
Kingston upon Thames,2003,294.3608885,62.399,339.83067680011777,6.98,634.1915653001178,69.379,4717.397530409141,48686.3433811057
Lambeth,2003,471.0069316999998,124.363,567.1774959013287,18.136,1038.1844276013285,142.499,3787.3558188528727,31273.57167519457
Lewisham,2003,441.9535469000001,112.494,315.2011403001028,11.697,757.1546872001029,124.191,3928.6855023379035,26947.177934521915
Merton,2003,336.12066059999984,77.462,339.076914099886,7.316,675.1975746998858,84.778,4339.168374170558,46347.30919900027
Newham,2003,379.94867890000023,96.868,772.264265996302,10.435,1152.2129448963024,107.303,3922.3342992525936,74007.1170097079
Redbridge,2003,430.93120370000025,95.708,266.14673650043284,8.036,697.0779402004331,103.744,4502.561997952107,33119.30518920269
Richmond upon Thames,2003,362.9761769000001,78.862,379.45693329995834,9.249,742.4331101999585,88.11099999999999,4602.675266921967,41026.806497995276
Southwark,2003,456.79182690000005,116.767,1210.2572866402954,18.679,1667.0491135402954,135.446,3911.99420127262,64792.40251835192
Sutton,2003,363.20267910000007,77.136,275.5027985702014,6.765,638.7054776702014,83.901,4708.601419570629,40724.73001776813
Tower Hamlets,2003,349.26553349999995,88.522,2311.5583468841114,15.832,2660.8238803841114,104.35400000000001,3945.522395562684,146005.4539466973
Waltham Forest,2003,398.8229827999999,94.051,329.6685360971311,9.17,728.4915188971311,103.221,4240.496994184005,35950.767295216036
Wandsworth,2003,499.7590044999999,126.104,599.2989112008052,16.402,1099.057915700805,142.506,3963.070199993655,36538.16066338283
Westminster,2003,494.0724001999998,116.626,3235.0629214186088,46.145,3729.1353216186085,162.77100000000002,4236.382969492221,70106.46703691859
City of London,2004,22.15013896465017,5.041666158319098,2458.427513915032,8.284341557146874,2480.577652879682,13.326007715465972,4393.416435973435,296755.9337041282
Barking and Dagenham,2004,304.5831200016815,69.8425919118306,469.4889601594392,5.522479814988755,774.0720801611207,75.36507172681934,4360.9939388587945,85014.15593863881
Barnet,2004,686.3605659378738,135.63059004734697,519.9637466291543,12.290367913643225,1206.3243125670283,147.9209579609902,5060.514487906259,42306.605488347974
Bexley,2004,410.4639222748454,89.905080779194,420.75649001678505,6.450160554941778,831.2204122916305,96.35524133413575,4565.525315337192,65231.940574630076
Brent,2004,448.53113543334734,104.94470349770336,703.1885587885129,14.224507182002124,1151.7196942218602,119.16921067970547,4273.9759176427915,49435.003251166265
Bromley,2004,600.5294339571948,128.25940764628052,486.2479403644392,10.973710082358503,1086.777374321634,139.233117728639,4682.147259040534,44310.25940316562
Camden,2004,349.3527951455406,91.68389516877743,1435.0633767496754,27.310075966999566,1784.416171895216,118.99397113577699,3810.4052462259615,52547.02983923407
Croydon,2004,643.690961313582,139.77720888990618,742.9442089649525,13.28509828366533,1386.6351702785344,153.0623071735715,4605.121009538668,55923.12477495468
Ealing,2004,526.6885491074833,124.45108824062531,762.7868762123229,11.718959392278839,1289.4754253198062,136.17004763290413,4232.092756707234,65089.98373310288
Enfield,2004,580.7037526215973,121.00565201658402,555.022102821239,9.072762263977365,1135.7258554428363,130.0784142805614,4798.980402518809,61174.54493709234
Greenwich,2004,378.749706356144,95.07515600625972,402.90286626795006,8.697549442898046,781.652572624094,103.77270544915775,3983.6874559659645,46323.72243620173
