,Borough,Inun,0-2%,2%-5%, 5%-15%,15%-30%,30%-50%,50%-70%,70%-85%,85%-95%,95%-98%,98%-100%
0,City of London,1,1,0,0,0,0,0,0,0,0,0
1,Barking & Dagenham,1,0,0,0,0,0,1,0,0,0,0
2,Barnet,0,0,0,0,0,0,0,0,0,0,0
3,Bexley,1,0,0,1,0,0,0,0,0,0,0
4,Brent,0,0,0,0,0,0,0,0,0,0,0
5,Bromley,0,0,0,0,0,0,0,0,0,0,0
6,Camden,0,0,0,0,0,0,0,0,0,0,0
7,Croydon,0,0,0,0,0,0,0,0,0,0,0
8,Ealing,1,0,1,0,0,0,0,0,0,0,0
9,Enfield,1,1,0,0,0,0,0,0,0,0,0
10,Greenwich,1,0,0,0,0,0,0,0,1,0,0
11,Hackney,1,0,1,0,0,0,0,0,0,0,0
12,Hammersmith & Fulham,1,0,0,0,0,0,0,0,0,1,0
13,Haringey,1,0,0,1,0,0,0,0,0,0,0
14,Harrow,0,0,0,0,0,0,0,0,0,0,0
15,Havering,1,0,0,0,1,0,0,0,0,0,0
16,Hillingdon,0,0,0,0,0,0,0,0,0,0,0
17,Hounslow,1,0,0,1,0,0,0,0,0,0,0
18,Islington,0,0,0,0,0,0,0,0,0,0,0
19,Kensington & Chelsea,1,0,1,0,0,0,0,0,0,0,0
20,Kingston upon Thames,1,0,0,1,0,0,0,0,0,0,0
21,Lambeth,1,0,0,0,1,0,0,0,0,0,0
22,Lewisham,1,0,0,1,0,0,0,0,0,0,0
23,Merton,0,0,0,0,0,0,0,0,0,0,0
24,Newham,1,0,0,0,0,0,0,0,1,0,0
25,Redbridge,1,0,0,1,0,0,0,0,0,0,0
26,Richmond upon Thames,1,0,0,0,1,0,0,0,0,0,0
27,Southwark,1,0,0,0,0,1,0,0,0,0,0
28,Sutton,0,0,0,0,0,0,0,0,0,0,0
29,Tower Hamlets,1,0,0,0,0,1,0,0,0,0,0
30,Waltham Forest,1,0,1,0,0,0,0,0,0,0,0
31,Wandsworth,1,0,0,0,1,0,0,0,0,0,0
32,Westminster,1,0,0,1,0,0,0,0,0,0,0
