Borough,Year,age-group,flow__Barking and Dagenham,flow__Barnet,flow__Bexley,flow__Brent,flow__Bromley,flow__Camden,flow__City of London,flow__Croydon,flow__Ealing,flow__Enfield,flow__Greenwich,flow__Hackney,flow__Hammersmith and Fulham,flow__Haringey,flow__Harrow,flow__Havering,flow__Hillingdon,flow__Hounslow,flow__Islington,flow__Kensington and Chelsea,flow__Kingston upon Thames,flow__Lambeth,flow__Lewisham,flow__Merton,flow__Newham,flow__Redbridge,flow__Richmond upon Thames,flow__Southwark,flow__Sutton,flow__Tower Hamlets,flow__Waltham Forest,flow__Wandsworth,flow__Westminster
Barking and Dagenham,2002,Age 0-3,,2.5562,5.5838,11.7365,3.8505,3.3372,0.1947,9.9965,10.8036,8.7469,7.1003,44.979,4.539,10.4846,3.1742,38.4973,,1.507,16.2465,6.627,3.4917,12.3564,5.2241,1.428,182.7447,102.9163,,21.9935,1.3602,50.1818,42.3711,4.0527,7.3207
Barking and Dagenham,2002,Age 11-15,,2.406,3.4635,4.5936,,,,2.3514,1.0968,4.812,3.4635,15.1508,3.2904,9.624,,31.6971,,,1.1749,2.5572,,6.9229,4.6152,,84.4104,67.2777,1.1639,16.1538,,44.3697,18.2448,,1.2786
Barking and Dagenham,2002,Age 4-10,,2.406,2.309,2.2968,,3.5247,,8.2299,4.3872,19.248,8.0817,48.6985,9.871,20.451,1.1484,36.2253,,2.1936,7.0494,10.2288,,13.8459,9.2306,,165.5742,149.3787,,20.7689,,42.2053,44.4717,6.25,7.6716
Barking and Dagenham,2003,Age 0-3,,3.0639,6.3733,8.6237,3.404,6.947,0.5192,3.7811,5.4576,12.7578,5.7099,61.2783,4.0408,23.9545,2.5401,31.8911,4.1889,5.2072,19.0505,3.5442,,9.8272,12.4771,,214.63,139.1333,,23.0889,1.155,64.4073,48.1065,,6.8388
Barking and Dagenham,2003,Age 11-15,,2.3984,,2.633,2.2116,1.2132,,1.2319,,8.3944,3.3174,31.8936,1.16,9.5936,,22.688,1.1667,,3.6396,,,3.465,6.93,,93.4815,101.759,,10.3953,,30.7938,24.0105,3.465,6.457
Barking and Dagenham,2003,Age 4-10,,3.5976,4.4232,11.8486,1.1058,8.4924,,6.1595,6.96,15.5896,8.8465,69.2863,1.16,17.9879,1.3165,52.1824,3.5001,5.8,9.7056,2.5828,,3.465,12.7053,1.155,233.1535,153.2103,,38.1163,1.155,69.2863,43.4478,2.31,9.0398
Barking and Dagenham,2004,Age 0-3,,9.1926,2.1052,17.146,1.8315,5.7986,0.7213,10.3045,1.0979,9.9959,12.0914,58.5964,4.9644,21.9351,7.8413,43.5777,0.6889,3.5646,8.5433,4.404,,17.409,10.1266,4.0355,262.6373,107.1675,,26.2057,0.4169,60.2655,57.5801,2.2289,14.4505
Barking and Dagenham,2004,Age 11-15,,1.1145,1.1891,3.6981,,,,1.1765,,4.458,2.3782,32.0328,1.374,11.1448,1.2327,33.0885,,,10.7038,1.1118,,1.2315,1.2315,1.1533,149.1184,73.6506,1.381,19.7038,,48.6015,23.3812,,3.3354
Barking and Dagenham,2004,Age 4-10,,3.3435,3.5673,14.7924,,4.7572,,3.5295,1.374,5.5725,9.5127,51.9153,5.496,15.6026,1.2327,46.78,,,3.5679,3.3354,,11.0835,1.2315,1.1533,249.635,140.2866,,36.9445,,65.1701,52.6078,3.4599,8.8946
Barking and Dagenham,2005,Age 0-3,,10.3034,0.9377,16.2691,1.8665,8.3029,1.4808,8.7093,4.5306,16.3744,9.426,61.3469,2.632,15.1795,6.0101,44.0893,,4.2292,12.0767,7.6194,0.3401,16.1985,16.8664,5.9547,284.6585,97.0501,0.3449,34.7977,1.988,78.2231,55.4723,2.1014,11.4493
