,,Code,Total,United Kingdom,Non-United Kingdom,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
Barking and Dagenham,2004,E09000002,165.0,133.0,32.0,6.0,3.0,2.0,,1.0,26.0,2.0,12.0,1.0,1.0,9.0,1.0,12.0,9.0,,,2.0,
Barking and Dagenham,2005,E09000002,165.0,131.0,34.0,7.0,5.0,1.0,,1.0,27.0,3.0,10.0,1.0,2.0,6.0,1.0,14.0,11.0,,,3.0,
Barking and Dagenham,2006,E09000002,166.0,131.0,35.0,4.0,3.0,1.0,,1.0,31.0,5.0,11.0,1.0,0.0,9.0,1.0,15.0,11.0,,1.0,3.0,
Barking and Dagenham,2007,E09000002,168.0,128.0,40.0,9.0,3.0,4.0,1.0,1.0,31.0,3.0,10.0,1.0,,8.0,1.0,18.0,13.0,1.0,1.0,3.0,
Barking and Dagenham,2008,E09000002,171.0,123.0,48.0,11.0,2.0,7.0,1.0,1.0,37.0,2.0,13.0,,1.0,11.0,1.0,21.0,17.0,,,4.0,
Barking and Dagenham,2009,E09000002,177.0,121.0,55.0,12.0,6.0,6.0,,,42.0,3.0,13.0,1.0,1.0,11.0,,26.0,19.0,1.0,1.0,4.0,
Barking and Dagenham,2010,E09000002,182.0,124.0,58.0,13.0,6.0,6.0,,,45.0,3.0,15.0,1.0,,11.0,3.0,27.0,23.0,1.0,1.0,2.0,
Barking and Dagenham,2011,E09000002,186.0,124.0,62.0,18.0,6.0,10.0,2.0,,44.0,2.0,16.0,1.0,,12.0,2.0,26.0,23.0,1.0,,2.0,
Barking and Dagenham,2012,E09000002,190.0,134.0,55.0,11.0,3.0,7.0,1.0,0.0,44.0,3.0,15.0,0.0,1.0,13.0,2.0,25.0,21.0,1.0,1.0,2.0,
Barking and Dagenham,2013,E09000002,193.0,123.0,69.0,19.0,5.0,11.0,2.0,1.0,50.0,3.0,20.0,,2.0,15.0,3.0,28.0,23.0,,,4.0,
Barking and Dagenham,2014,E09000002,197.0,123.0,73.0,24.0,5.0,14.0,5.0,1.0,49.0,3.0,19.0,1.0,1.0,15.0,2.0,27.0,22.0,2.0,,2.0,
