Borough,Year,Code, Total electors, Attainers
Barking and Dagenham,2001,00AB,117079.0,1657.0
Barking and Dagenham,2002,00AB,118484.0,1642.0
Barking and Dagenham,2003,00AB,117350.0,1605.0
Barking and Dagenham,2004,00AB,119372.0,1331.0
Barking and Dagenham,2005,00AB,121929.0,1522.0
Barking and Dagenham,2006,00AB,123064.0,1650.0
Barking and Dagenham,2007,00AB,120104.0,1734.0
Barking and Dagenham,2008,00AB,120716.0,1743.0
Barking and Dagenham,2009,00AB,120769.0,1697.0
Barking and Dagenham,2010,E09000002,123003.0,1702.0
Barking and Dagenham,2011,E09000002,125472.0,1784.0
Barking and Dagenham,2012,E09000002,126995.0,1618.0
Barking and Dagenham,2013,E09000002,128792.0,1945.0
Barking and Dagenham,2014,E09000002,122889.0,1482.0
Barking and Dagenham,2015,E09000002,124230.0,938.0
Barking and Dagenham,2016,E09000002,129689.0,1090.0
Barking and Dagenham,2017,E09000002,132548.0,1088.0
Barking and Dagenham,2018,E09000002,138464.0,1055.0
Barking and Dagenham,2019,E09000002,138418.0,1253.0
Barnet,2001,00AC,232661.0,1951.0
Barnet,2002,00AC,235187.0,2208.0
Barnet,2003,00AC,227972.0,1813.0
Barnet,2004,00AC,214421.0,1292.0
Barnet,2005,00AC,215198.0,2186.0
Barnet,2006,00AC,220778.0,2454.0
Barnet,2007,00AC,227016.0,2709.0
Barnet,2008,00AC,226581.0,2431.0
Barnet,2009,00AC,233860.0,2492.0
Barnet,2010,E09000003,241808.0,2153.0
Barnet,2011,E09000003,243134.0,2541.0
Barnet,2012,E09000003,245136.0,2128.0
Barnet,2013,E09000003,233881.0,2131.0
Barnet,2014,E09000003,238348.0,258.0
Barnet,2015,E09000003,229184.0,372.0
Barnet,2016,E09000003,239924.0,1474.0
Barnet,2017,E09000003,257831.0,743.0
Barnet,2018,E09000003,258038.0,1410.0
Barnet,2019,E09000003,259189.0,1249.0
Bexley,2001,00AD,169377.0,1913.0
Bexley,2002,00AD,170273.0,2018.0
Bexley,2003,00AD,170928.0,1924.0
Bexley,2004,00AD,171904.0,2093.0
Bexley,2005,00AD,171226.0,2198.0
Bexley,2006,00AD,172667.0,2614.0
Bexley,2007,00AD,173979.0,2636.0
Bexley,2008,00AD,172086.0,2005.0
Bexley,2009,00AD,173748.0,1706.0
Bexley,2010,E09000004,172429.0,1732.0
Bexley,2011,E09000004,176128.0,1695.0
Bexley,2012,E09000004,177398.0,1673.0
Bexley,2013,E09000004,179076.0,1854.0
Bexley,2014,E09000004,176168.0,38.0
Bexley,2015,E09000004,170141.0,1123.0
Bexley,2016,E09000004,173983.0,1126.0
Bexley,2017,E09000004,175368.0,1550.0
Bexley,2018,E09000004,173409.0,1382.0
Bexley,2019,E09000004,175739.0,1281.0
Brent,2001,00AE,180716.0,1258.0
Brent,2002,00AE,177394.0,1220.0
Brent,2003,00AE,164202.0,1128.0
Brent,2004,00AE,180665.0,1487.0
Brent,2005,00AE,189078.0,1720.0
Brent,2006,00AE,192987.0,1645.0
Brent,2007,00AE,198113.0,1900.0
Brent,2008,00AE,200094.0,1638.0
Brent,2009,00AE,202889.0,1942.0
Brent,2010,E09000005,206617.0,1550.0
Brent,2011,E09000005,211583.0,1789.0
Brent,2012,E09000005,217115.0,1555.0
Brent,2013,E09000005,216145.0,1395.0
Brent,2014,E09000005,210535.0,649.0
Brent,2015,E09000005,212678.0,1278.0
Brent,2016,E09000005,218270.0,2378.0
Brent,2017,E09000005,224176.0,1723.0
Brent,2018,E09000005,231347.0,1441.0
Brent,2019,E09000005,230360.0,1559.0
Bromley,2001,00AF,227921.0,2134.0
Bromley,2002,00AF,228145.0,2262.0
Bromley,2003,00AF,228536.0,2362.0
Bromley,2004,00AF,228983.0,2242.0
Bromley,2005,00AF,232024.0,3096.0
Bromley,2006,00AF,233839.0,3000.0
