,,Code,Total,British,Non-British,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
Barking and Dagenham,2004,E09000002,165.0,142.0,23.0,5.0,3.0,2.0,,,18.0,2.0,7.0,1.0,,6.0,,8.0,7.0,,1.0,1.0,
Barking and Dagenham,2005,E09000002,165.0,144.0,21.0,5.0,4.0,1.0,,,16.0,4.0,4.0,1.0,,3.0,,8.0,7.0,,,1.0,
Barking and Dagenham,2006,E09000002,166.0,144.0,22.0,5.0,4.0,1.0,,,17.0,5.0,6.0,1.0,,5.0,,6.0,5.0,,,1.0,
Barking and Dagenham,2007,E09000002,168.0,143.0,25.0,9.0,4.0,4.0,1.0,,16.0,3.0,4.0,,,3.0,,10.0,9.0,,,1.0,
Barking and Dagenham,2008,E09000002,171.0,138.0,33.0,11.0,3.0,7.0,1.0,,22.0,2.0,7.0,,1.0,6.0,,13.0,11.0,,,2.0,
Barking and Dagenham,2009,E09000002,177.0,140.0,36.0,14.0,7.0,6.0,1.0,,22.0,3.0,5.0,,1.0,4.0,,14.0,11.0,,,2.0,
Barking and Dagenham,2010,E09000002,182.0,144.0,38.0,15.0,8.0,7.0,,,23.0,2.0,7.0,1.0,,5.0,1.0,13.0,12.0,,1.0,1.0,
Barking and Dagenham,2011,E09000002,186.0,137.0,49.0,22.0,9.0,11.0,2.0,,27.0,3.0,8.0,,,6.0,1.0,16.0,14.0,1.0,,1.0,
Barking and Dagenham,2012,E09000002,190.0,157.0,32.0,11.0,3.0,6.0,2.0,,21.0,1.0,7.0,,1.0,5.0,1.0,13.0,12.0,1.0,,,
Barking and Dagenham,2013,E09000002,193.0,147.0,46.0,19.0,5.0,12.0,2.0,,27.0,3.0,9.0,,1.0,6.0,2.0,15.0,12.0,,,2.0,
Barking and Dagenham,2014,E09000002,197.0,145.0,52.0,26.0,6.0,15.0,6.0,,26.0,3.0,9.0,1.0,,5.0,2.0,14.0,14.0,,,,
Barking and Dagenham,2015,E09000002,201.0,144.0,57.0,30.0,11.0,11.0,7.0,,27.0,1.0,10.0,2.0,1.0,6.0,2.0,15.0,15.0,,,,
Barking and Dagenham,2016,E09000002,206.0,161.0,45.0,26.0,8.0,10.0,7.0,,19.0,3.0,5.0,,,3.0,2.0,11.0,10.0,,,1.0,
