Borough,Year,Code,Numbers__Christian,Numbers__Buddhist,Numbers__Hindu,Numbers__Jewish,Numbers__Muslim,Numbers__Sikh,Numbers__Any Other Religion,Numbers__No Religion,Numbers__Total,Percentages__Christian,Percentages__Buddhist,Percentages__Hindu,Percentages__Jewish,Percentages__Muslim,Percentages__Sikh,Percentages__Any Other Religion,Percentages__No Religion
Barking and Dagenham,2004,E09000002,112100.0,,5300.0,,16300.0,2100.0,2500.0,18200.0,156300.0,71.7,,3.4,,10.4,1.3,1.6,11.6
Barking and Dagenham,2005,E09000002,120100.0,,3400.0,,12300.0,2300.0,2500.0,24800.0,165400.0,72.6,,2.0,,7.4,1.4,1.5,15.0
Barking and Dagenham,2006,E09000002,109800.0,,3300.0,,18600.0,3500.0,2500.0,28300.0,166100.0,66.1,,2.0,,11.2,2.1,1.5,17.1
Barking and Dagenham,2007,E09000002,116700.0,,6700.0,,16100.0,,3900.0,24500.0,167900.0,69.5,,4.0,,9.6,,2.3,14.6
Barking and Dagenham,2008,E09000002,115700.0,,3300.0,,17600.0,,3500.0,31100.0,171100.0,67.6,,1.9,,10.3,,2.0,18.2
Barking and Dagenham,2009,E09000002,112900.0,,3200.0,,26500.0,,3900.0,29700.0,176300.0,64.1,,1.8,,15.0,,2.2,16.9
Barking and Dagenham,2010,E09000002,117200.0,,,,25400.0,3900.0,5500.0,29700.0,181700.0,64.5,,,,14.0,2.1,3.0,16.4
Barking and Dagenham,2011,E09000002,117900.0,,1900.0,,23100.0,,6000.0,35400.0,184300.0,64.0,,1.0,,12.5,,3.3,19.2
Barking and Dagenham,2012,E09000002,115200.0,,2200.0,,27700.0,3800.0,1900.0,37600.0,189400.0,60.8,,1.1,,14.6,2.0,1.0,19.8
Barking and Dagenham,2013,E09000002,120000.0,,3600.0,,30400.0,2200.0,,33200.0,192900.0,62.2,,1.9,,15.8,1.1,,17.2
Barking and Dagenham,2014,E09000002,112500.0,,4700.0,,34100.0,4900.0,4400.0,32700.0,195100.0,57.7,,2.4,,17.5,2.5,2.3,16.7
Barking and Dagenham,2015,E09000002,118100.0,,4200.0,,39100.0,5200.0,3700.0,29100.0,201500.0,58.6,,2.1,,19.4,2.6,1.8,14.4
Barking and Dagenham,2016,E09000002,122300.0,,6600.0,,44000.0,3400.0,3800.0,26700.0,206900.0,59.1,,3.2,,21.3,1.7,1.8,12.9
Barking and Dagenham,2017,E09000002,112600.0,,5600.0,,47300.0,3800.0,4400.0,35100.0,208800.0,53.9,,2.7,,22.7,1.8,2.1,16.8
Barking and Dagenham,2018,E09000002,115800.0,,6600.0,,54400.0,3200.0,,33300.0,214900.0,53.9,,3.0,,25.3,1.5,,15.5
Barnet,2004,E09000003,157600.0,3900.0,27200.0,50900.0,14200.0,3700.0,8600.0,35800.0,302000.0,52.2,1.3,9.0,16.9,4.7,1.2,2.9,11.9
Barnet,2005,E09000003,166500.0,,21700.0,56000.0,26500.0,,11900.0,34600.0,317200.0,52.5,,6.8,17.7,8.4,,3.8,10.9
Barnet,2006,E09000003,166400.0,,19300.0,50300.0,30900.0,,8100.0,44500.0,319500.0,52.1,,6.0,15.7,9.7,,2.5,13.9
Barnet,2007,E09000003,178100.0,,24000.0,54000.0,22200.0,,8800.0,36300.0,323400.0,55.1,,7.4,16.7,6.9,,2.7,11.2
Barnet,2008,E09000003,159400.0,,21000.0,61900.0,32300.0,,9300.0,46400.0,330300.0,48.2,,6.4,18.7,9.8,,2.8,14.0
Barnet,2009,E09000003,166600.0,,21600.0,56900.0,40900.0,,11800.0,38700.0,336400.0,49.5,,6.4,16.9,12.1,,3.5,11.5
Barnet,2010,E09000003,186900.0,,29300.0,49000.0,25400.0,,6800.0,43800.0,341200.0,54.8,,8.6,14.4,7.5,,2.0,12.8
Barnet,2011,E09000003,145600.0,,26100.0,55800.0,30900.0,,19000.0,69500.0,346900.0,42.0,,7.5,16.1,8.9,,5.5,20.0
Barnet,2012,E09000003,135300.0,,13500.0,58200.0,50400.0,,14500.0,75000.0,351400.0,38.5,,3.8,16.6,14.3,,4.1,21.4
Barnet,2013,E09000003,171200.0,5600.0,16000.0,46300.0,37900.0,,,74800.0,355400.0,48.2,1.6,4.5,13.0,10.7,,,21.0
Barnet,2014,E09000003,174700.0,8300.0,20600.0,41600.0,45100.0,,8400.0,59000.0,359100.0,48.7,2.3,5.7,11.6,12.6,,2.4,16.4
Barnet,2015,E09000003,148500.0,,25200.0,52300.0,38600.0,,9700.0,84700.0,361900.0,41.0,,7.0,14.4,10.7,,2.7,23.4
Barnet,2016,E09000003,138000.0,7300.0,25400.0,65900.0,35900.0,,15100.0,88000.0,375700.0,36.7,2.0,6.8,17.6,9.5,,4.0,23.4
Barnet,2017,E09000003,145400.0,4200.0,18100.0,85600.0,30600.0,4700.0,12300.0,76800.0,377700.0,38.5,1.1,4.8,22.7,8.1,1.2,3.3,20.3
Barnet,2018,E09000003,152500.0,7500.0,15400.0,74500.0,46000.0,,17200.0,75600.0,388600.0,39.2,1.9,4.0,19.2,11.8,,4.4,19.4
Bexley,2004,E09000004,165400.0,,3300.0,,4000.0,3800.0,2800.0,32500.0,211800.0,78.1,,1.6,,1.9,1.8,1.3,15.4
Bexley,2005,E09000004,181600.0,,,,4000.0,4100.0,4000.0,26800.0,220400.0,82.4,,,,1.8,1.8,1.8,12.1
Bexley,2006,E09000004,174000.0,,,,4400.0,4900.0,4000.0,34800.0,222000.0,78.4,,,,2.0,2.2,1.8,15.7
Bexley,2007,E09000004,170000.0,,4100.0,,6200.0,,5800.0,36900.0,223000.0,76.2,,1.9,,2.8,,2.6,16.6
Bexley,2008,E09000004,177400.0,,2500.0,,,3600.0,7000.0,34200.0,224700.0,79.0,,1.1,,,1.6,3.1,15.2
Bexley,2009,E09000004,178300.0,,4100.0,,3100.0,,3100.0,38500.0,227000.0,78.5,,1.8,,1.4,,1.4,17.0
Bexley,2010,E09000004,164600.0,,5000.0,,4100.0,,5900.0,49900.0,229400.0,71.7,,2.2,,1.8,,2.6,21.8
Bexley,2011,E09000004,154500.0,,4300.0,,4900.0,5000.0,3700.0,57400.0,229800.0,67.2,,1.9,,2.1,2.2,1.6,25.0
Bexley,2012,E09000004,170900.0,,,,9100.0,,,49300.0,233100.0,73.3,,,,3.9,,,21.1
Bexley,2013,E09000004,171600.0,,,,9800.0,,,48300.0,235300.0,72.9,,,,4.2,,,20.5
Bexley,2014,E09000004,164000.0,,,,8800.0,,,60900.0,238300.0,68.8,,,,3.7,,,25.6
