Borough,Year,"Decisions made during the year per 1,000 households","Households accommodated by the authority on 31 March per 1,000 households"
City of London,2004,7.75,8.5
City of London,2005,4.75,6
City of London,2006,2.4,5.4
City of London,2007,2.687569988801792,5.375139977603584
City of London,2008,3.034243606415258,4.768097095795405
City of London,2009,2.0,3.4
City of London,2010,2.5714285714285716,0.42857142857142855
City of London,2011,2.43,1.71
City of London,2012,3.6,2.8
City of London,2013,2.607561929595828,1.7383746197305519
City of London,2014,5.71549534292972,3.8103302286198137
City of London,2015,6.41,4.96
City of London,2016,3.6,3.6
City of London,2017,1.38,2.95
Barking and Dagenham,2004,11.567164179104477,7.074626865671642
Barking and Dagenham,2005,5.149253731343284,8.283582089552239
Barking and Dagenham,2006,..,11.716417910447761
Barking and Dagenham,2007,4.9411207763773,10.385229895260075
Barking and Dagenham,2008,4.523615936137187,9.402025279030232
Barking and Dagenham,2009,3.411764705882353,8.367647058823529
Barking and Dagenham,2010,3.25,10.352941176470589
Barking and Dagenham,2011,2.93,15.96
Barking and Dagenham,2012,9.22,16.5
Barking and Dagenham,2013,11.77818894810969,19.13783104581481
Barking and Dagenham,2014,10.350620495312416,17.842627215086978
Barking and Dagenham,2015,12.5,23.04
Barking and Dagenham,2016,7.05,23.94
Barking and Dagenham,2017,6.51,23.86
Barnet,2004,5.614814814814815,17.288888888888888
Barnet,2005,..,17.881481481481483
Barnet,2006,3.595419847328244,19.366412213740457
Barnet,2007,3.2348252039095176,19.170190315549497
Barnet,2008,2.437868219679014,17.524058900100073
Barnet,2009,1.744360902255639,16.654135338345863
Barnet,2010,1.832116788321168,15.613138686131387
Barnet,2011,2.47,16.16
Barnet,2012,4.28,17.06
Barnet,2013,4.750024666300196,16.921081934401737
Barnet,2014,4.675446653637111,19.047092866663444
Barnet,2015,2.86,19.9
Barnet,2016,4.23,18.22
Barnet,2017,2.88,16.7
Bexley,2004,4.725274725274725,4.142857142857143
Bexley,2005,2.967032967032967,4.56043956043956
Bexley,2006,2.758241758241758,4.34065934065934
Bexley,2007,2.272477769239214,3.3154023493248435
Bexley,2008,1.9159991340116909,2.403117557912968
Bexley,2009,1.391304347826087,2.1739130434782608
Bexley,2010,2.193548387096774,2.3333333333333335
Bexley,2011,3.72,3.27
Bexley,2012,3.71,4.57
Bexley,2013,4.461061307728258,5.725028678251264
Bexley,2014,5.237364070420462,7.309172748879962
Bexley,2015,5.03,8.52
Bexley,2016,5.18,10.37
Bexley,2017,5.04,12.44
Brent,2004,6.973684210526316,39.06140350877193
Brent,2005,..,37.78947368421053
Brent,2006,7.306930693069307,40.801980198019805
Brent,2007,8.834865105247554,38.61053463781006
Brent,2008,4.742099739573211,35.47829128930695
Brent,2009,3.1262135922330097,29.485436893203882
Brent,2010,3.4081632653061225,30.806122448979593
Brent,2011,4.93,32.41
Brent,2012,5.02,29.01
Brent,2013,6.415319537324698,29.32090639425693
Brent,2014,7.330477303215197,27.35730667705223
Brent,2015,6.05,25.12
Brent,2016,4.57,23.95
Brent,2017,4.32,19.77
Bromley,2004,3.9069767441860463,3.496124031007752
Bromley,2005,5.565891472868217,7.782945736434108
Bromley,2006,4.813953488372093,6.170542635658915
Bromley,2007,4.321704210328168,5.623705841751899
Bromley,2008,3.785679448173352,4.915964109591163
Bromley,2009,3.2093023255813953,3.7906976744186047
Bromley,2010,3.2030075187969924,3.225563909774436
Bromley,2011,4.77,4.6
Bromley,2012,4.26,5.74
Bromley,2013,3.754067528435382,6.1498044601009045
Bromley,2014,3.3294452893147692,7.456185681170547
Bromley,2015,4.44,8.9
Bromley,2016,5.98,10.35
Bromley,2017,4.48,10.82
Camden,2004,11.595959595959595,21.939393939393938
Camden,2005,7.040404040404041,19.484848484848484
Camden,2006,3.2857142857142856,16.73469387755102
Camden,2007,2.2179067865903517,14.73469387755102
Camden,2008,1.1480613199810907,9.62827896925318
Camden,2009,0.9423076923076923,6.423076923076923
Camden,2010,1.4466019417475728,6.427184466019417
Camden,2011,1.32,6.46
Camden,2012,1.25,6.54
Camden,2013,0.7652782333005357,5.35694763310375
Camden,2014,0.6271251212605216,4.801426709650868
Camden,2015,0.65,4.11
Camden,2016,0.6,3.56
Camden,2017,0.84,3.53
Croydon,2004,7.929577464788732,23.56338028169014
Croydon,2005,4.091549295774648,18.471830985915492
Croydon,2006,2.361111111111111,14.45138888888889
Croydon,2007,3.0226167829211583,12.576622278588037
Croydon,2008,3.1153080269484548,10.428302816266209
Croydon,2009,2.951388888888889,8.79861111111111
Croydon,2010,3.9383561643835616,10.123287671232877
Croydon,2011,5.8,11.98
Croydon,2012,6.2,14.7
Croydon,2013,5.083049829897939,16.102995130411582
Croydon,2014,5.785324997205951,18.210625275296003
Croydon,2015,6.52,18.9
Croydon,2016,6.63,15.58
Croydon,2017,4.6899999999999995,12.56
Ealing,2004,6.069230769230769,17.084615384615386
